2024-10-27 11:10:17.652 - INFO    - MainThread - testcommon.py:101 [runtest] - prload True / ronce True exbar -2
2024-10-27 11:10:20.672 - INFO    - MainThread - testcommon.py:181 [next] - 2006-08-30 - 170, 3815.88, 3829.4, 3809.02, 3817.86
2024-10-27 11:10:20.672 - INFO    - MainThread - testcommon.py:177 [next] - 2006-08-31 - 171 - 3721.859333
2024-10-27 11:10:20.672 - INFO    - MainThread - testcommon.py:181 [next] - 2006-08-31 - 171, 3823.7, 3828.06, 3802.39, 3808.7
2024-10-27 11:10:20.673 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-01 - 172 - 3730.653000
2024-10-27 11:10:20.673 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-01 - 172, 3808.99, 3836.22, 3808.99, 3820.89
2024-10-27 11:10:20.673 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-04 - 173 - 3737.475667
2024-10-27 11:10:20.673 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-04 - 173, 3824.02, 3839.3, 3824.02, 3837.61
2024-10-27 11:10:20.673 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-05 - 174 - 3743.684333
2024-10-27 11:10:20.673 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-05 - 174, 3835.82, 3835.82, 3801.14, 3817.76
2024-10-27 11:10:20.673 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-06 - 175 - 3748.066333
2024-10-27 11:10:20.673 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-06 - 175, 3818.12, 3818.36, 3765.73, 3772.21
2024-10-27 11:10:20.674 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-07 - 176 - 3750.004667
2024-10-27 11:10:20.674 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-07 - 176, 3766.8, 3766.8, 3729.77, 3739.7
2024-10-27 11:10:20.674 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-08 - 177 - 3751.320667
2024-10-27 11:10:20.674 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-08 - 177, 3745.99, 3762.09, 3736.31, 3750.08
2024-10-27 11:10:20.674 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-11 - 178 - 3752.993667
2024-10-27 11:10:20.674 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-11 - 178, 3745.78, 3745.78, 3709.81, 3742.06
2024-10-27 11:10:20.675 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-12 - 179 - 3757.939000
2024-10-27 11:10:20.675 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-12 - 179, 3744.91, 3792.73, 3729.36, 3788.96
2024-10-27 11:10:20.675 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-13 - 180 - 3761.579000
2024-10-27 11:10:20.675 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-13 - 180, 3799.86, 3810.07, 3787.11, 3805.55
2024-10-27 11:10:20.675 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-14 - 181 - 3765.870333
2024-10-27 11:10:20.675 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-14 - 181, 3809.08, 3824.77, 3786.7, 3796.65
2024-10-27 11:10:20.675 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-15 - 182 - 3769.004333
2024-10-27 11:10:20.676 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-15 - 182, 3800.99, 3825.15, 3789.18, 3812.11
2024-10-27 11:10:20.676 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-18 - 183 - 3773.985667
2024-10-27 11:10:20.676 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-18 - 183, 3813.73, 3823.92, 3790.83, 3808.47
2024-10-27 11:10:20.676 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-19 - 184 - 3777.721667
2024-10-27 11:10:20.676 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-19 - 184, 3807.67, 3811.25, 3770.36, 3780.18
2024-10-27 11:10:20.676 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-20 - 185 - 3782.192333
2024-10-27 11:10:20.676 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-20 - 185, 3782.15, 3843.26, 3775.48, 3841.31
2024-10-27 11:10:20.677 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-21 - 186 - 3788.249000
2024-10-27 11:10:20.677 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-21 - 186, 3840.2, 3867.74, 3831.23, 3857.14
2024-10-27 11:10:20.677 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-22 - 187 - 3792.836667
2024-10-27 11:10:20.677 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-22 - 187, 3839.51, 3839.65, 3800.65, 3812.73
2024-10-27 11:10:20.677 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-25 - 188 - 3796.270333
2024-10-27 11:10:20.677 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-25 - 188, 3815.13, 3842.67, 3802.47, 3822.12
2024-10-27 11:10:20.677 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-26 - 189 - 3799.821667
2024-10-27 11:10:20.678 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-26 - 189, 3838.0, 3877.79, 3838.0, 3872.92
2024-10-27 11:10:20.678 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-27 - 190 - 3803.329667
2024-10-27 11:10:20.678 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-27 - 190, 3877.55, 3899.04, 3871.12, 3896.18
2024-10-27 11:10:20.678 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-28 - 191 - 3806.492333
2024-10-27 11:10:20.678 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-28 - 191, 3893.86, 3907.41, 3885.32, 3894.98
2024-10-27 11:10:20.678 - INFO    - MainThread - testcommon.py:177 [next] - 2006-09-29 - 192 - 3810.092667
2024-10-27 11:10:20.678 - INFO    - MainThread - testcommon.py:181 [next] - 2006-09-29 - 192, 3898.07, 3921.15, 3894.87, 3899.41
2024-10-27 11:10:20.679 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-02 - 193 - 3813.933667
2024-10-27 11:10:20.679 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-02 - 193, 3902.03, 3917.4, 3875.76, 3892.48
2024-10-27 11:10:20.679 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-03 - 194 - 3816.853333
2024-10-27 11:10:20.679 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-03 - 194, 3886.09, 3886.09, 3858.87, 3880.14
2024-10-27 11:10:20.679 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-04 - 195 - 3822.045000
2024-10-27 11:10:20.679 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-04 - 195, 3884.39, 3914.73, 3883.38, 3914.73
2024-10-27 11:10:20.679 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-05 - 196 - 3827.311333
2024-10-27 11:10:20.679 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-05 - 196, 3921.17, 3949.47, 3921.17, 3939.86
2024-10-27 11:10:20.680 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-06 - 197 - 3832.616000
2024-10-27 11:10:20.680 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-06 - 197, 3939.28, 3950.06, 3919.88, 3940.31
2024-10-27 11:10:20.680 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-09 - 198 - 3836.979667
2024-10-27 11:10:20.680 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-09 - 198, 3932.33, 3942.17, 3921.81, 3939.48
2024-10-27 11:10:20.680 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-10 - 199 - 3842.108333
2024-10-27 11:10:20.680 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-10 - 199, 3946.55, 3963.2, 3943.35, 3960.67
2024-10-27 11:10:20.681 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-11 - 200 - 3847.092667
2024-10-27 11:10:20.681 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-11 - 200, 3956.15, 3969.72, 3939.78, 3967.39
2024-10-27 11:10:20.681 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-12 - 201 - 3853.467000
2024-10-27 11:10:20.681 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-12 - 201, 3966.39, 4000.49, 3964.44, 3999.93
2024-10-27 11:10:20.681 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-13 - 202 - 3859.406333
2024-10-27 11:10:20.681 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-13 - 202, 4002.28, 4008.67, 3986.41, 3999.07
2024-10-27 11:10:20.681 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-16 - 203 - 3864.885000
2024-10-27 11:10:20.681 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-16 - 203, 4000.3, 4007.38, 3987.52, 4001.97
2024-10-27 11:10:20.682 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-17 - 204 - 3869.278667
2024-10-27 11:10:20.682 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-17 - 204, 3993.04, 3993.33, 3947.39, 3949.57
2024-10-27 11:10:20.682 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-18 - 205 - 3876.584333
2024-10-27 11:10:20.682 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-18 - 205, 3958.29, 4007.17, 3958.29, 3991.38
2024-10-27 11:10:20.682 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-19 - 206 - 3884.821667
2024-10-27 11:10:20.682 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-19 - 206, 3986.3, 4000.76, 3967.98, 3986.82
2024-10-27 11:10:20.682 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-20 - 207 - 3893.092000
2024-10-27 11:10:20.683 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-20 - 207, 3991.86, 4016.63, 3981.18, 3998.19
2024-10-27 11:10:20.683 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-23 - 208 - 3902.324000
2024-10-27 11:10:20.683 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-23 - 208, 4001.63, 4024.75, 3982.02, 4019.02
2024-10-27 11:10:20.683 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-24 - 209 - 3909.825667
2024-10-27 11:10:20.683 - INFO    - MainThread - testcommon.py:181 [next] - 2006-10-24 - 209, 4018.21, 4022.87, 4003.96, 4014.01
2024-10-27 11:10:20.683 - INFO    - MainThread - testcommon.py:177 [next] - 2006-10-25 - 210 - 3916.945333
