2024-10-29 15:54:56.002 - INFO    - MainThread - client.py:204 [connectAsync] - Connecting to 127.0.0.1:7497 with clientId 55228...
2024-10-29 15:54:56.004 - INFO    - MainThread - client.py:212 [connectAsync] - Connected
2024-10-29 15:54:56.012 - INFO    - MainThread - client.py:341 [_onSocketHasData] - Logged on to server version 176
2024-10-29 15:54:56.014 - INFO    - MainThread - wrapper.py:1111 [error] - Warning 2104, reqId -1: Market data farm connection is OK:usfarm.nj
2024-10-29 15:54:56.014 - INFO    - MainThread - wrapper.py:1111 [error] - Warning 2104, reqId -1: Market data farm connection is OK:hfarm
2024-10-29 15:54:56.015 - INFO    - MainThread - wrapper.py:1111 [error] - Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2024-10-29 15:54:56.015 - INFO    - MainThread - wrapper.py:1111 [error] - Warning 2104, reqId -1: Market data farm connection is OK:cashfarm
2024-10-29 15:54:56.015 - INFO    - MainThread - wrapper.py:1111 [error] - Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2024-10-29 15:54:56.015 - INFO    - MainThread - wrapper.py:1111 [error] - Warning 2106, reqId -1: HMDS data farm connection is OK:apachmds
2024-10-29 15:54:56.015 - INFO    - MainThread - wrapper.py:1111 [error] - Warning 2106, reqId -1: HMDS data farm connection is OK:cashhmds
2024-10-29 15:54:56.015 - INFO    - MainThread - client.py:218 [connectAsync] - API connection ready
2024-10-29 15:54:56.016 - INFO    - MainThread - wrapper.py:1111 [error] - Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2024-10-29 15:54:56.017 - INFO    - MainThread - wrapper.py:1111 [error] - Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefhk
2024-10-29 15:54:56.423 - INFO    - MainThread - ib.py:1789 [connectAsync] - Synchronization complete
2024-10-29 15:54:57.063 - ERROR   - MainThread - wrapper.py:1113 [error] - Error 200, reqId 3: No security definition has been found for the request, contract: Contract(secType='FUT', symbol='ES', lastTradeDateOrContractMonth='202501', exchange='CME')
